consecutivo,CódigoLIAC,Sitio,CodigoJBM,CodigoJBM,Especie,Unidades,Elemento,Resultado,Unidades,Estrato,Contaminación,Susceptibilidad promedio
33,15089,Pedro Justo Berrío,PJE3Pl3,PJE3Pl,Pleopeltis,mg/kg,Cu,Cu=5.02,5.02,E3,Media,0.0170258333333333
152,15098,Uva Tesoro,UTE4Pl12,UTE4Pl,Pleopeltis,mg/kg,Cu,Cu=5.12,5.12,E4,Media,0.0335838
139,15097,Uva Tesoro,UTE2Pl11,UTE2Pl,Pleopeltis,mg/kg,Cu,Cu=5.52,5.52,E2,Media,-0.0030485
71,15092,San Cristóbal,SCE1Pl6,SCE1Pl,Pleopeltis,mg/kg,Cu,Cu=5.58,5.58,E1,Control,0.001488
58,15091,Poblado,POE4Pl5,POE4Pl,Pleopeltis,mg/kg,Cu,Cu=6.62,6.62,E4,Alta,0.0956962
126,15096,Uva Tesoro,UTE1Pl10,UTE1Pl,Pleopeltis,mg/kg,Cu,Cu=7.42,7.42,E1,Media,0.0235315
18,15087,Carlos E. Restrepo,CEE1Pl1,CEE1Pl,Pleopeltis,mg/kg,Cu,Cu=7.90,7.9,E1,Alta,0.1703724
46,15090,Poblado,POE3Pl4,POE3Pl,Pleopeltis,mg/kg,Cu,Cu=9.80,9.8,E3,Alta,0.079066
107,15095,Copacabana,CPE4Pl9,CPE4Pl,Pleopeltis,mg/kg,Ba,Ba=22.91,22.91,E4,Control,-0.0424152
93,15094,Copacabana,CPE2Pl8,CPE2Pl,Pleopeltis,mg/kg,Ba,Ba=24.09,24.09,E2,Control,-0.0493246
79,15093,San Cristóbal,SCE3Pl7,SCE3Pl,Pleopeltis,mg/kg,Ba,Ba=24.81,24.81,E3,Control,0.0101592
147,15098,Uva Tesoro,UTE4Pl12,UTE4Pl,Pleopeltis,mg/kg,Ba,Ba=29.01,29.01,E4,Media,0.0335838
134,15097,Uva Tesoro,UTE2Pl11,UTE2Pl,Pleopeltis,mg/kg,Ba,Ba=33.29,33.29,E2,Media,-0.0030485
121,15096,Uva Tesoro,UTE1Pl10,UTE1Pl,Pleopeltis,mg/kg,Ba,Ba=35.89,35.89,E1,Media,0.0235315
66,15092,San Cristóbal,SCE1Pl6,SCE1Pl,Pleopeltis,mg/kg,Ba,Ba=37.33,37.33,E1,Control,0.001488
28,15089,Pedro Justo Berrío,PJE3Pl3,PJE3Pl,Pleopeltis,mg/kg,Ba,Ba=49.45,49.45,E3,Media,0.0170258333333333
15,15087,Carlos E. Restrepo,CEE1Pl1,CEE1Pl,Pleopeltis,mg/kg,Ba,Ba=49.90,49.9,E1,Alta,0.1703724
53,15091,Poblado,POE4Pl5,POE4Pl,Pleopeltis,mg/kg,Ba,Ba=54.13,54.13,E4,Alta,0.0956962
41,15090,Poblado,POE3Pl4,POE3Pl,Pleopeltis,mg/kg,Ba,Ba=60.04,60.04,E3,Alta,0.079066
217,15103,Copacabana,CPE4Rh17,CPE4Rh,Rhipsalis,mg/kg,Cu,Cu=5.53,5.53,E4,Control,-0.04733
230,15104,Pedro Justo Berrío,PJE2Rh18,PJE2Rh,Rhipsalis,mg/kg,Cu,Cu=6.88,6.88,E2,Media,-0.02442525
255,15106,Poblado,POE2Rh20,POE2Rh,Rhipsalis,mg/kg,Cu,Cu=7.67,7.67,E2,Alta,0.0802088
268,15107,Poblado,POE4Rh21,POE4Rh,Rhipsalis,mg/kg,Cu,Cu=8.50,8.5,E4,Alta,0.107595
243,15105,Pedro Justo Berrío,PJE3Rh19,PJE3Rh,Rhipsalis,mg/kg,Cu,Cu=10.24,10.24,E3,Media,-0.02643
177,15100,Carlos E. Restrepo,CEE3Rh14,CEE3Rh,Rhipsalis,mg/kg,Cu,Cu=11.72,11.72,E3,Alta,0.259558142857143
165,15099,Carlos E. Restrepo,CEE1Rh13,CEE1Rh,Rhipsalis,mg/kg,Cu,Cu=12.00,12,E1,Alta,0.418985
212,15103,Copacabana,CPE4Rh17,CPE4Rh,Rhipsalis,mg/kg,Ba,Ba=23.69,23.69,E4,Control,-0.04733
250,15106,Poblado,POE2Rh20,POE2Rh,Rhipsalis,mg/kg,Ba,Ba=44.60,44.6,E2,Alta,0.0802088
184,15101,Copacabana,CPE2Rh15,CPE2Rh,Rhipsalis,mg/kg,Ba,Ba=52.45,52.45,E2,Control,0.099339
225,15104,Pedro Justo Berrío,PJE2Rh18,PJE2Rh,Rhipsalis,mg/kg,Ba,Ba=56.15,56.15,E2,Media,-0.02442525
275,15108,Uva Tesoro,UTE4Rh22,UTE4Rh,Rhipsalis,mg/kg,Ba,Ba=57.79,57.79,E4,Media,0.0520043333333333
238,15105,Pedro Justo Berrío,PJE3Rh19,PJE3Rh,Rhipsalis,mg/kg,Ba,Ba=69.07,69.07,E3,Media,-0.02643
160,15099,Carlos E. Restrepo,CEE1Rh13,CEE1Rh,Rhipsalis,mg/kg,Ba,Ba=69.60,69.6,E1,Alta,0.418985
172,15100,Carlos E. Restrepo,CEE3Rh14,CEE3Rh,Rhipsalis,mg/kg,Ba,Ba=96.54,96.54,E3,Alta,0.259558142857143
198,15102,Copacabana,CPE3Rh16,CPE3Rh,Rhipsalis,mg/kg,Ba,Ba=101.40,101.4,E3,Control,-0.038087
263,15107,Poblado,POE4Rh21,POE4Rh,Rhipsalis,mg/kg,Ba,Ba=111.72,111.72,E4,Alta,0.107595
325,15112,Copacabana,CPE4Ti26,CPE4Ti,Tillandsia,mg/kg,Cr,Cr=5.46,5.46,E4,Control,0.051254
358,15115,Pedro Justo Berrío,PJE3Ti29,PJE3Ti,Tillandsia,mg/kg,Cr,Cr=6.78,6.78,E3,Media,0.25829
412,15120,San Cristóbal,SCE2Ti34,SCE2Ti,Tillandsia,mg/kg,Cr,Cr=6.86,6.86,E2,Control,0.2872344
347,15114,Pedro Justo Berrío,PJE2Ti28,PJE2Ti,Tillandsia,mg/kg,Cr,Cr=8.08,8.08,E2,Media,0.3642116
399,15119,San Cristóbal,SCE1Ti33,SCE1Ti,Tillandsia,mg/kg,Cu,Cu=10.34,10.34,E1,Control,0.039336
314,15111,Copacabana,CPE3Ti25,CPE3Ti,Tillandsia,mg/kg,Cu,Cu=10.92,10.92,E3,Control,0.03692275
326,15112,Copacabana,CPE4Ti26,CPE4Ti,Tillandsia,mg/kg,Cu,Cu=11.70,11.7,E4,Control,0.051254
337,15113,Pedro Justo Berrío,PJE1Ti27,PJE1Ti,Tillandsia,mg/kg,Cr,Cr=12.32,12.32,E1,Media,0.338039
413,15120,San Cristóbal,SCE2Ti34,SCE2Ti,Tillandsia,mg/kg,Cu,Cu=13.10,13.1,E2,Control,0.2872344
390,15118,Poblado,POE4Ti32,POE4Ti,Tillandsia,mg/kg,Cr,Cr=14.66,14.66,E4,Alta,0.7284768
369,15116,Pedro Justo Berrío,PJE4Ti30,PJE4Ti,Tillandsia,mg/kg,Cr,Cr=16.26,16.26,E4,Media,0.895564857142857
302,15110,Carlos E. Restrepo,CEE2Ti24,CEE2Ti,Tillandsia,mg/kg,Cr,Cr=18.27,18.27,E2,Alta,0.8464728
348,15114,Pedro Justo Berrío,PJE2Ti28,PJE2Ti,Tillandsia,mg/kg,Cu,Cu=19.12,19.12,E2,Media,0.3642116
359,15115,Pedro Justo Berrío,PJE3Ti29,PJE3Ti,Tillandsia,mg/kg,Cu,Cu=19.44,19.44,E3,Media,0.25829
379,15117,Poblado,POE3Ti31,POE3Ti,Tillandsia,mg/kg,Cr,Cr=20.33,20.33,E3,Alta,0.478188
370,15116,Pedro Justo Berrío,PJE4Ti30,PJE4Ti,Tillandsia,mg/kg,Cu,Cu=25.10,25.1,E4,Media,0.895564857142857
338,15113,Pedro Justo Berrío,PJE1Ti27,PJE1Ti,Tillandsia,mg/kg,Cu,Cu=25.12,25.12,E1,Media,0.338039
322,15112,Copacabana,CPE4Ti26,CPE4Ti,Tillandsia,mg/kg,Ba,Ba=25.32,25.32,E4,Control,0.051254
309,15111,Copacabana,CPE3Ti25,CPE3Ti,Tillandsia,mg/kg,Ba,Ba=25.78,25.78,E3,Control,0.03692275
292,15109,Carlos E. Restrepo,CEE1Ti23,CEE1Ti,Tillandsia,mg/kg,Cr,Cr=26.20,26.2,E1,Alta,18791588
409,15120,San Cristóbal,SCE2Ti34,SCE2Ti,Tillandsia,mg/kg,Ba,Ba=31.15,31.15,E2,Control,0.2872344
389,15118,Poblado,POE4Ti32,POE4Ti,Tillandsia,mg/kg,Cu,Cu=33.73,33.73,E4,Alta,0.7284768
303,15110,Carlos E. Restrepo,CEE2Ti24,CEE2Ti,Tillandsia,mg/kg,Cu,Cu=40.33,40.33,E2,Alta,0.8464728
396,15119,San Cristóbal,SCE1Ti33,SCE1Ti,Tillandsia,mg/kg,Ba,Ba=42.02,42.02,E1,Control,0.039336
380,15117,Poblado,POE3Ti31,POE3Ti,Tillandsia,mg/kg,Cu,Cu=42.48,42.48,E3,Alta,0.478188
293,15109,Carlos E. Restrepo,CEE1Ti23,CEE1Ti,Tillandsia,mg/kg,Cu,Cu=43.41,43.41,E1,Alta,18791588
344,15114,Pedro Justo Berrío,PJE2Ti28,PJE2Ti,Tillandsia,mg/kg,Ba,Ba=56.71,56.71,E2,Media,0.3642116
366,15116,Pedro Justo Berrío,PJE4Ti30,PJE4Ti,Tillandsia,mg/kg,Ba,Ba=71.68,71.68,E4,Media,0.895564857142857
334,15113,Pedro Justo Berrío,PJE1Ti27,PJE1Ti,Tillandsia,mg/kg,Ba,Ba=73.86,73.86,E1,Media,0.338039
386,15118,Poblado,POE4Ti32,POE4Ti,Tillandsia,mg/kg,Ba,Ba=85.12,85.12,E4,Alta,0.7284768
355,15115,Pedro Justo Berrío,PJE3Ti29,PJE3Ti,Tillandsia,mg/kg,Ba,Ba=90.66,90.66,E3,Media,0.25829
299,15110,Carlos E. Restrepo,CEE2Ti24,CEE2Ti,Tillandsia,mg/kg,Ba,Ba=104.08,104.08,E2,Alta,0.8464728
376,15117,Poblado,POE3Ti31,POE3Ti,Tillandsia,mg/kg,Ba,Ba=121.76,121.76,E3,Alta,0.478188
289,15109,Carlos E. Restrepo,CEE1Ti23,CEE1Ti,Tillandsia,mg/kg,Ba,Ba=146.34,146.34,E1,Alta,18791588
